"";"distance";"moving_time";"start_date";"gear_id";"type"
"196";203664;4174;2020-05-23 08:12:47;"b5957471";"Ride"
"197";588617;8216;2020-05-22 16:08:30;"b5957471";"Ride"
"198";260276;5767;2020-05-21 14:13:28;"b5957471";"Ride"
"199";300313;5828;2020-05-21 08:48:00;"b5957471";"Ride"
"200";430159;5328;2020-05-18 17:12:45;"b6734226";"Ride"
"201";500235;7760;2020-05-17 11:27:20;"b5957471";"Ride"
"202";466744;7665;2020-05-16 12:21:15;"b5957471";"Ride"
"203";38733;4044;2020-05-15 12:49:22;NA;"Walk"
"204";593954;7844;2020-05-14 13:15:33;"b6734226";"Ride"
"205";406758;5130;2020-05-12 17:15:27;"b6734226";"Ride"
"206";23911;4654;2020-05-10 11:52:06;"b5957471";"Ride"
"207";114231;17107;2020-05-09 09:12:52;"b6734226";"Ride"
"208";302766;3967;2020-05-07 14:05:51;"b6734226";"Ride"
"209";405462;5585;2020-05-06 14:34:30;"b6734226";"Ride"
"210";527483;6641;2020-05-05 12:58:06;"b6734226";"Ride"
"211";600427;7624;2020-05-03 13:12:26;"b6734226";"Ride"
"212";118819;1814;2020-05-01 18:21:33;"b6734226";"VirtualRide"
"213";222627;4251;2020-04-30 12:28:06;"b5957471";"Ride"
"214";506699;8535;2020-04-29 12:03:57;"b5957471";"Ride"
"215";102285;12908;2020-04-27 07:30:21;"b6734226";"Ride"
"216";746942;11077;2020-04-25 11:17:58;"b6734226";"Ride"
"217";678113;8837;2020-04-23 13:01:34;"b6734226";"Ride"
"218";514814;6625;2020-04-21 16:29:42;"b6734226";"Ride"
"219";641159;8824;2020-04-19 08:10:02;"b6734226";"Ride"
"220";227574;5943;2020-04-18 12:58:56;"b6734226";"VirtualRide"
"221";129697;1819;2020-04-17 14:20:23;"b6734226";"Ride"
"222";369121;4905;2020-04-16 16:47:18;"b6734226";"Ride"
"223";500641;6011;2020-04-15 16:25:31;"b6734226";"Ride"
"224";354197;6478;2020-04-13 12:17:50;"b5957471";"Ride"
"225";180384;4628;2020-04-12 08:19:50;"b2266483";"Ride"
"226";800531;10173;2020-04-11 07:45:40;"b6734226";"Ride"
"227";800069;12403;2020-04-08 13:13:46;"b6734226";"Ride"
"228";316187;4166;2020-04-07 06:32:27;"b6734226";"Ride"
"229";257588;5945;2020-04-05 09:29:46;"b2266483";"Ride"
"230";66995;8683;2020-04-04 11:43:20;"b6734226";"Ride"
"231";263125;4473;2020-04-02 16:37:17;"b5957471";"Ride"
"232";531768;7065;2020-04-01 12:26:19;"b6734226";"Ride"
"233";208356;3626;2020-03-30 16:59:49;"b5957471";"Ride"
"234";134193;2403;2020-03-29 12:23:36;"b5957471";"Ride"
"235";701554;9555;2020-03-28 08:47:47;"b6734226";"Ride"
"236";43939;3073;2020-03-26 15:03:38;NA;"Walk"
"237";420836;5530;2020-03-25 13:08:47;"b6734226";"Ride"
"238";200116;3106;2020-03-24 17:05:44;"b5957471";"Ride"
"239";576181;7874;2020-03-22 09:16:30;"b6734226";"Ride"
"240";282831;4812;2020-03-21 12:09:42;"b5957471";"Ride"
"241";24125;2557;2020-03-19 19:01:28;"b6734226";"VirtualRide"
"242";588532;7750;2020-03-18 14:05:47;"b6734226";"Ride"
"243";36847;509;2020-03-17 18:34:17;"b6734226";"VirtualRide"
"244";410648;6211;2020-03-15 09:09:39;"b6734226";"Ride"
"245";654128;8209;2020-03-14 12:10:07;"b6734226";"Ride"
"246";16;3600;2020-03-12 14:58:12;NA;"IceSkate"
"247";219011;2121;2020-03-11 19:18:07;"b6734226";"VirtualRide"
"248";16;4800;2020-03-10 19:06:43;NA;"IceSkate"
"249";219162;2743;2020-03-09 14:22:49;"b6734226";"VirtualRide"
"250";439633;5832;2020-03-07 10:09:30;"b6734226";"Ride"
"251";81504;1588;2020-02-29 11:23:49;"b6734226";"Ride"
"252";117685;23205;2020-02-28 08:57:12;"b1350013";"Ride"
"253";207345;5082;2020-02-27 11:21:27;"b1350013";"Ride"
"254";869893;17057;2020-02-26 10:29:39;"b1350013";"Ride"
"255";43196;8354;2020-02-25 15:21:01;"b1350013";"Ride"
"256";160544;3627;2020-02-22 11:26:25;"b6734226";"VirtualRide"
"257";16;4200;2020-02-20 19:00:19;NA;"IceSkate"
"258";21853;2917;2020-02-19 18:36:51;"b6734226";"VirtualRide"
"259";18;4920;2020-02-18 19:00:13;NA;"IceSkate"
"260";4;3600;2020-02-16 08:45:06;NA;"IceSkate"
"261";293083;3817;2020-02-15 13:36:30;"b6734226";"Ride"
"262";446503;5849;2020-02-14 11:47:45;"b6734226";"Ride"
"263";16;4500;2020-02-11 19:00:37;NA;"IceSkate"
"264";161465;2871;2020-02-08 18:20:47;"b5957471";"VirtualRide"
"265";26628;4660;2020-02-06 13:25:05;"b5957471";"Ride"
"266";16;4800;2020-02-04 19:24:01;NA;"IceSkate"
"267";12;5400;2020-02-02 09:29:11;NA;"IceSkate"
"268";366102;6352;2020-01-31 12:36:21;"b5957471";"Ride"
"269";13;2700;2020-01-30 14:56:58;NA;"IceSkate"
"270";16;4800;2020-01-28 19:00:23;NA;"IceSkate"
"271";308294;4402;2020-01-26 13:40:47;"b5957471";"Ride"
"272";302279;4876;2020-01-25 09:41:12;"b5957471";"Ride"
"273";10;2700;2020-01-23 15:39:33;NA;"IceSkate"
"274";16;4200;2020-01-21 19:00:17;NA;"IceSkate"
"275";12;3000;2020-01-19 14:46:07;NA;"IceSkate"
"276";161452;2135;2020-01-18 17:56:29;"b2992308";"VirtualRide"
"277";320899;5319;2020-01-17 13:53:00;"b5957471";"Ride"
"278";15;4800;2020-01-14 19:00:56;NA;"IceSkate"
"279";294613;4315;2020-01-13 14:13:52;"b5957471";"Ride"
"280";250413;4869;2020-01-11 11:27:56;"b5957471";"Ride"
"281";42141;3237;2020-01-10 13:42:00;NA;"Walk"
"282";12;3000;2020-01-09 15:27:48;NA;"IceSkate"
"283";13;4200;2020-01-07 19:15:13;NA;"IceSkate"
"284";264139;3474;2020-01-06 18:24:50;"b2992308";"VirtualRide"
"285";215382;4648;2020-01-04 13:50:40;"b5957471";"Ride"
"286";14;3600;2020-01-03 18:32:01;NA;"IceSkate"
"287";291761;4821;2020-01-02 09:11:44;"b5957471";"Ride"
"288";12;3600;2019-12-31 10:33:46;NA;"IceSkate"
"289";787542;10574;2019-12-30 11:24:28;"b2992308";"Ride"
"290";234907;5496;2019-12-28 13:35:03;"b5957471";"Ride"
"291";258361;6550;2019-12-26 12:28:26;"b5957471";"Ride"
"292";59038;4307;2019-12-25 14:28:43;NA;"Walk"
"293";205802;5212;2019-12-24 09:11:03;"b5957471";"Ride"
"294";343044;6584;2019-12-21 09:54:48;"b5957471";"Ride"
